sn,Site,Filename,time_start,time_end,freq_low,freq_high,classid,species,sound_class,GroundTruth,score_initial,score_reinforcement
48,GFN,GFN_20190831_170000.wav,226929,228000,1339,1735,101,Otus spilocephalus,S-01,0,0.104,0
49,GFN,GFN_20190902_000000.wav,490509,491108,309,617,115,Strix leptogrammica,S-01,0,0.23,0
50,GFN,GFN_20190903_020000.wav,275821,276000,395,769,116,Strix nivicolum,S-01,0,0.332,0
51,GFN,GFN_20190907_230000.wav,236518,237000,1395,1768,101,Otus spilocephalus,S-01,0,0.307,0.291
52,GFN,GFN_20190909_190000.wav,562929,564296,1191,1735,101,Otus spilocephalus,S-01,1,0.847,0.714
53,GFN,GFN_20190910_050000.wav,236271,237509,1483,1907,101,Otus spilocephalus,S-01,1,0.724,0.495
54,GFN,GFN_20190910_200000.wav,438000,438317,1424,1819,101,Otus spilocephalus,S-01,1,0.188,0.304
55,GFN,GFN_20190911_000000.wav,306034,307279,1352,1751,101,Otus spilocephalus,S-01,1,0.439,0.224
56,GFN,GFN_20190911_040000.wav,10222,11101,1257,1718,101,Otus spilocephalus,S-01,1,0.644,0.397
57,GFN,GFN_20190912_000000.wav,269034,270181,1191,1735,101,Otus spilocephalus,S-01,1,0.889,0.818
58,GFN,GFN_20190912_000000.wav,276009,277126,1230,1751,101,Otus spilocephalus,S-01,1,0.881,0.801
59,GFN,GFN_20190912_020000.wav,185927,186119,505,1019,98,Otus lettia,S-01,0,0.678,0.234
60,GFN,GFN_20190913_000000.wav,394280,395470,1217,1669,101,Otus spilocephalus,S-01,1,0.333,0.692
61,GFN,GFN_20190913_000000.wav,596222,597780,1339,1802,101,Otus spilocephalus,S-01,1,0.271,0.218
62,GFN,GFN_20190913_050000.wav,292940,294833,789,1191,66,Glaucidium brodiei,S-01,1,0.828,0.76
63,GFN,GFN_20190913_050000.wav,357278,359229,820,1257,66,Glaucidium brodiei,S-01,1,0.828,0.774
64,GFN,GFN_20190913_050000.wav,387146,389050,851,1257,66,Glaucidium brodiei,S-01,1,0.855,0.787
65,GFN,GFN_20190914_060000.wav,362000,362295,1270,1751,101,Otus spilocephalus,S-01,0,0.102,0
66,GFN,GFN_20190914_230000.wav,527041,527288,6033,7851,116,Strix nivicolum,S-01,0,0.132,0
67,GFN,GFN_20190915_010000.wav,152270,153721,1297,1768,101,Otus spilocephalus,S-01,1,0.42,0.465
68,GFN,GFN_20190915_030000.wav,198200,199307,1230,1685,101,Otus spilocephalus,S-01,1,0.644,0.628
69,GFN,GFN_20190915_050000.wav,362286,363000,799,1217,66,Glaucidium brodiei,S-01,1,0.275,0.515
70,GFN,GFN_20190915_220000.wav,364757,365819,1453,1819,101,Otus spilocephalus,S-01,1,0.527,0
71,GFN,GFN_20190916_040000.wav,191349,192476,1498,1907,101,Otus spilocephalus,S-01,0,0.327,0
72,GFN,GFN_20190916_050000.wav,99000,99461,810,1191,66,Glaucidium brodiei,S-01,1,0.604,0.619
73,GFN,GFN_20190916_050000.wav,112812,114771,830,1217,66,Glaucidium brodiei,S-01,1,0.762,0.741
74,GFN,GFN_20190917_030000.wav,128000,128268,1498,1889,101,Otus spilocephalus,S-01,1,0.377,0.186
75,GFN,GFN_20190917_030000.wav,381643,382000,810,1191,66,Glaucidium brodiei,S-01,0,0.464,0
76,GFN,GFN_20190917_230000.wav,85693,87755,830,1204,66,Glaucidium brodiei,S-01,1,0.461,0.273
77,GFN,GFN_20190919_050000.wav,119142,120000,799,1165,66,Glaucidium brodiei,S-01,0,0.116,0.231
78,GFN,GFN_20190919_220000.wav,177209,178437,1178,1735,101,Otus spilocephalus,S-01,1,0.85,0.821
79,GFN,GFN_20190920_060000.wav,257000,257062,351,749,116,Strix nivicolum,S-01,0,0.16,0
80,GFN,GFN_20190920_180000.wav,271067,272950,851,1243,66,Glaucidium brodiei,S-01,1,0.808,0.695
81,GFN,GFN_20190920_180000.wav,559135,559362,497,1078,98,Otus lettia,S-01,1,0.681,0.587
82,GFN,GFN_20190921_020000.wav,45432,45666,473,779,116,Strix nivicolum,S-01,0,0.103,0
83,GFN,GFN_20190921_040000.wav,141732,142000,1339,1819,101,Otus spilocephalus,S-01,1,0.461,0.638
84,GFN,GFN_20190921_040000.wav,263307,264952,1325,1802,101,Otus spilocephalus,S-01,0,0.372,0.14
85,GFN,GFN_20190921_050000.wav,559755,561693,820,1243,66,Glaucidium brodiei,S-01,1,0.43,0.454
86,GFN,GFN_20190922_020000.wav,256000,256557,1367,1785,101,Otus spilocephalus,S-01,1,0.301,0.698
87,GFN,GFN_20190923_000000.wav,356314,356521,497,862,88,Ninox japonica,S-01,0,0.346,0
88,GFN,GFN_20190923_050000.wav,273956,275892,851,1243,66,Glaucidium brodiei,S-01,1,0.81,0.757
89,GFN,GFN_20190923_060000.wav,335624,336236,139,481,115,Strix leptogrammica,S-01,0,0.389,0.203
90,GFN,GFN_20190923_230000.wav,138808,139037,481,841,88,Ninox japonica,S-01,0,0.473,0.389
91,GFN,GFN_20190925_050000.wav,58576,59979,862,1230,66,Glaucidium brodiei,S-01,1,0.599,0.15
92,GFN,GFN_20190927_020000.wav,368787,368993,473,779,116,Strix nivicolum,S-01,0,0.15,0.13
93,GFN,GFN_20190928_010000.wav,66224,66437,465,1042,98,Otus lettia,S-01,0,0.51,0.124
94,GFN,GFN_20190928_050000.wav,103956,105915,851,1243,66,Glaucidium brodiei,S-01,1,0.806,0.781
95,GFN,GFN_20190929_030000.wav,99814,100000,530,820,88,Ninox japonica,S-01,0,0.437,0.482
96,GFN,GFN_20191001_050000.wav,187204,187405,441,1066,98,Otus lettia,S-01,0,0.245,0.508
97,GFN,GFN_20191002_040000.wav,500021,500865,1453,1836,101,Otus spilocephalus,S-01,1,0.146,0.269
98,GFN,GFN_20191002_180000.wav,390204,390426,449,972,98,Otus lettia,S-01,0,0.641,0.718
99,GFN,GFN_20191004_050000.wav,881,2771,820,1204,66,Glaucidium brodiei,S-01,1,0.464,0.452
100,GFN,GFN_20191004_050000.wav,67531,70046,862,1270,66,Glaucidium brodiei,S-01,1,0.366,0.224
101,GFN,GFN_20191004_200000.wav,138753,139000,426,769,116,Strix nivicolum,S-01,0,0.293,0.365
102,GFN,GFN_20191005_050000.wav,199344,201314,851,1243,66,Glaucidium brodiei,S-01,1,0.661,0.35
103,GFN,GFN_20191007_230000.wav,569846,570718,1284,1735,101,Otus spilocephalus,S-01,1,0.573,0.597
104,GFN,GFN_20191009_050000.wav,219014,219273,403,927,98,Otus lettia,S-01,0,0.666,0.662
105,GFN,GFN_20191009_050000.wav,267577,267831,403,894,98,Otus lettia,S-01,0,0.633,0.562
106,GFN,GFN_20191009_050000.wav,553000,553069,465,851,116,Strix nivicolum,S-01,0,0.316,0
107,GFN,GFN_20191009_060000.wav,529938,530000,473,873,116,Strix nivicolum,S-01,0,0.246,0
108,GFN,GFN_20191010_200000.wav,476571,476800,530,841,88,Ninox japonica,S-01,0,0.628,0.387
109,GFN,GFN_20191011_180000.wav,549894,551800,830,1204,66,Glaucidium brodiei,S-01,1,0.75,0.73
110,GFN,GFN_20191011_210000.wav,448312,449000,779,1178,66,Glaucidium brodiei,S-01,1,0.115,0.497
111,GFN,GFN_20191011_220000.wav,98000,98055,395,799,116,Strix nivicolum,S-01,0,0.213,0
112,GFN,GFN_20191012_000000.wav,583819,584073,418,789,116,Strix nivicolum,S-01,0,0.422,0.433
113,GFN,GFN_20191012_170000.wav,464000,464062,489,1066,98,Otus lettia,S-01,0,0.117,0
114,GFN,GFN_20191016_050000.wav,103034,104534,883,1257,66,Glaucidium brodiei,S-01,0,0.598,0.515
115,GFN,GFN_20191018_200000.wav,419000,419323,820,1178,66,Glaucidium brodiei,S-01,0,0.224,0
116,GFN,GFN_20191020_210000.wav,516516,516729,497,789,88,Ninox japonica,S-01,0,0.166,0.374
117,GFN,GFN_20191021_040000.wav,138,344,465,972,98,Otus lettia,S-01,1,0.768,0.738
118,GFN,GFN_20191021_060000.wav,452124,452346,457,1054,98,Otus lettia,S-01,0,0.565,0.536
119,GFN,GFN_20191021_200000.wav,77000,77584,128,465,115,Strix leptogrammica,S-01,0,0.526,0
120,GFN,GFN_20191023_050000.wav,430000,430096,418,759,116,Strix nivicolum,S-01,0,0.126,0.146
121,GFN,GFN_20191024_050000.wav,251723,253050,894,1243,66,Glaucidium brodiei,S-01,1,0.639,0
122,GFN,GFN_20191030_170000.wav,243333,243656,5632,7677,116,Strix nivicolum,S-01,0,0.21,0
123,GFN,GFN_20191030_200000.wav,559465,560000,873,1230,66,Glaucidium brodiei,S-01,0,0.635,0.312
124,GFN,GFN_20191031_200000.wav,468616,469000,851,1204,66,Glaucidium brodiei,S-01,0,0.173,0
125,GFN,GFN_20191106_050000.wav,143000,143048,449,938,116,Strix nivicolum,S-01,0,0.13,0
126,GFN,GFN_20191108_220000.wav,341609,341803,564,841,88,Ninox japonica,S-01,0,0.482,0.291
127,GFN,GFN_20191109_210000.wav,270518,271000,820,1165,66,Glaucidium brodiei,S-01,0,0.239,0.248
128,GFN,GFN_20191110_040000.wav,70863,71000,395,769,116,Strix nivicolum,S-01,0,0.38,0.212
129,GFN,GFN_20191110_050000.wav,224537,224799,465,1054,98,Otus lettia,S-01,0,0.355,0.164
130,GFN,GFN_20191110_170000.wav,340151,340339,573,830,88,Ninox japonica,S-01,0,0.223,0
131,GFN,GFN_20191112_170000.wav,170000,170048,433,820,116,Strix nivicolum,S-01,0,0.101,0
132,GFN,GFN_20191114_000000.wav,320073,320273,481,1030,98,Otus lettia,S-01,0,0.509,0.337
133,GFN,GFN_20191115_000000.wav,351794,352000,473,769,116,Strix nivicolum,S-01,0,0.213,0
134,GFN,GFN_20191115_010000.wav,54000,55000,972,1339,66,Glaucidium brodiei,S-01,0,0.238,0
135,GFN,GFN_20191115_020000.wav,67956,68170,481,1019,98,Otus lettia,S-01,0,0.525,0.457
136,GFN,GFN_20191116_000000.wav,328014,328530,789,1153,66,Glaucidium brodiei,S-01,0,0.349,0
137,GFN,GFN_20191117_030000.wav,199822,200000,380,779,116,Strix nivicolum,S-01,0,0.123,0
138,GFN,GFN_20191118_030000.wav,279000,279117,433,799,116,Strix nivicolum,S-01,0,0.102,0.203
139,GFN,GFN_20191119_170000.wav,185057,185273,497,1042,98,Otus lettia,S-01,0,0.388,0.267
140,GFN,GFN_20191123_060000.wav,161000,161069,410,769,116,Strix nivicolum,S-01,0,0.18,0
141,GFN,GFN_20191123_220000.wav,570330,570555,564,830,88,Ninox japonica,S-01,0,0.193,0
142,GFN,GFN_20191125_030000.wav,100000,100330,851,1217,66,Glaucidium brodiei,S-01,0,0.542,0
143,GFN,GFN_20191127_220000.wav,101133,101993,841,1217,66,Glaucidium brodiei,S-01,0,0.144,0
144,GFN,GFN_20191128_060000.wav,216000,216632,862,1243,66,Glaucidium brodiei,S-01,0,0.13,0
145,GFN,GFN_20191128_180000.wav,576982,577188,505,841,88,Ninox japonica,S-01,0,0.436,0.305
146,GFN,GFN_20191129_200000.wav,515321,515878,192,497,115,Strix leptogrammica,S-01,0,0.516,0
147,GFN,GFN_20191129_220000.wav,376876,377000,426,769,116,Strix nivicolum,S-01,0,0.366,0.327
148,GFN,GFN_20191130_000000.wav,110000,110062,403,779,116,Strix nivicolum,S-01,0,0.228,0
149,GFN,GFN_20191130_050000.wav,101000,101179,395,739,116,Strix nivicolum,S-01,0,0.115,0.147
150,GFN,GFN_20191201_050000.wav,21612,21819,547,820,88,Ninox japonica,S-01,0,0.201,0
151,GFN,GFN_20191202_020000.wav,573373,573587,473,1019,98,Otus lettia,S-01,0,0.669,0
152,GFN,GFN_20191202_210000.wav,292995,293204,505,841,88,Ninox japonica,S-01,0,0.511,0
153,GFN,GFN_20191203_050000.wav,503794,504000,473,779,116,Strix nivicolum,S-01,0,0.221,0.336
154,GFN,GFN_20191204_000000.wav,286897,287000,380,749,116,Strix nivicolum,S-01,0,0.315,0.204
155,GFN,GFN_20191204_010000.wav,300000,300048,418,851,116,Strix nivicolum,S-01,0,0.139,0
156,GFN,GFN_20191204_050000.wav,460807,461000,373,779,116,Strix nivicolum,S-01,0,0.281,0
157,GFN,GFN_20191204_220000.wav,366000,366557,841,1230,66,Glaucidium brodiei,S-01,0,0.134,0
158,GFN,GFN_20191205_050000.wav,452181,452360,530,862,88,Ninox japonica,S-01,0,0.104,0
159,GFN,GFN_20191206_010000.wav,252000,252378,873,1217,66,Glaucidium brodiei,S-01,0,0.176,0
160,GFN,GFN_20191209_170000.wav,371000,371082,388,769,116,Strix nivicolum,S-01,0,0.293,0.134
161,GFN,GFN_20191209_230000.wav,237931,238000,410,749,116,Strix nivicolum,S-01,0,0.118,0
162,GFN,GFN_20191210_000000.wav,195815,196000,418,759,116,Strix nivicolum,S-01,0,0.257,0.189
163,GFN,GFN_20191210_040000.wav,550000,550138,410,759,116,Strix nivicolum,S-01,0,0.133,0
164,GFN,GFN_20191210_050000.wav,470897,471000,403,739,116,Strix nivicolum,S-01,0,0.144,0
165,GFN,GFN_20191211_220000.wav,451672,452023,418,779,116,Strix nivicolum,S-01,0,0.443,0.596
166,GFN,GFN_20191212_000000.wav,175771,175963,489,1030,98,Otus lettia,S-01,0,0.104,0
167,GFN,GFN_20191212_020000.wav,118869,119000,759,1078,66,Glaucidium brodiei,S-01,0,0.149,0
168,GFN,GFN_20191212_180000.wav,335794,336000,433,759,116,Strix nivicolum,S-01,0,0.332,0.25
169,GFN,GFN_20191212_230000.wav,128945,129000,426,820,116,Strix nivicolum,S-01,0,0.272,0
170,GFN,GFN_20191214_060000.wav,315000,315083,497,1103,98,Otus lettia,S-01,0,0.111,0.179
171,GFN,GFN_20191217_030000.wav,340737,341018,473,759,116,Strix nivicolum,S-01,0,0.656,0
172,GFN,GFN_20191221_220000.wav,34698,35000,862,1230,66,Glaucidium brodiei,S-01,0,0.202,0.167
173,GFN,GFN_20191222_200000.wav,592000,592069,426,1030,98,Otus lettia,S-01,0,0.215,0.201
174,GFN,GFN_20191224_040000.wav,326622,327000,799,1153,66,Glaucidium brodiei,S-01,0,0.238,0
175,GFN,GFN_20191228_190000.wav,132014,133167,995,1339,66,Glaucidium brodiei,S-01,0,0.118,0
176,GFN,GFN_20191228_210000.wav,180327,180638,426,759,116,Strix nivicolum,S-01,0,0.386,0.491
177,GFN,GFN_20200101_030000.wav,85876,86000,395,779,116,Strix nivicolum,S-01,0,0.554,0.128
178,GFN,GFN_20200103_030000.wav,47581,47872,441,810,116,Strix nivicolum,S-01,0,0.186,0
179,GFN,GFN_20200104_050000.wav,442670,442924,395,779,116,Strix nivicolum,S-01,0,0.166,0.224
180,GFN,GFN_20200105_000000.wav,192580,193000,883,1217,66,Glaucidium brodiei,S-01,0,0.168,0
181,GFN,GFN_20200106_050000.wav,4805,5000,538,820,88,Ninox japonica,S-01,0,0.222,0.33
182,GFN,GFN_20200107_180000.wav,109904,110000,473,873,116,Strix nivicolum,S-01,0,0.129,0
183,GFN,GFN_20200108_030000.wav,280904,281000,403,769,116,Strix nivicolum,S-01,0,0.147,0
184,GFN,GFN_20200108_200000.wav,429000,429186,373,779,116,Strix nivicolum,S-01,0,0.43,0.134
185,GFN,GFN_20200109_020000.wav,326849,326986,380,779,116,Strix nivicolum,S-01,0,0.159,0.416
186,GFN,GFN_20200116_030000.wav,64913,65167,426,759,116,Strix nivicolum,S-01,0,0.157,0
187,GFN,GFN_20200117_000000.wav,490406,490641,410,720,88,Ninox japonica,S-01,0,0.531,0
188,GFN,GFN_20200120_190000.wav,263961,264161,581,841,88,Ninox japonica,S-01,0,0.105,0
189,GFN,GFN_20200121_040000.wav,360000,360055,418,1030,98,Otus lettia,S-01,0,0.124,0
190,GFN,GFN_20200123_220000.wav,140000,140220,410,769,116,Strix nivicolum,S-01,0,0.161,0
191,GFN,GFN_20200124_220000.wav,446201,446491,599,1140,98,Otus lettia,S-01,0,0.531,0
192,GFN,GFN_20200125_050000.wav,297000,297144,105,457,115,Strix leptogrammica,S-01,0,0.16,0
193,GFN,GFN_20200126_020000.wav,143814,144000,1297,1819,101,Otus spilocephalus,S-01,1,0.416,0.661
194,GFN,GFN_20200126_030000.wav,99952,100000,513,883,116,Strix nivicolum,S-01,0,0.128,0
195,GFN,GFN_20200127_060000.wav,391957,392121,449,1066,98,Otus lettia,S-01,0,0.368,0.2
196,GFN,GFN_20200128_230000.wav,184000,184716,851,1230,66,Glaucidium brodiei,S-01,0,0.55,0.211
197,GFN,GFN_20200131_050000.wav,297046,297265,457,820,88,Ninox japonica,S-01,1,0.815,0.681
198,GFN,GFN_20200131_180000.wav,492732,493000,426,779,116,Strix nivicolum,S-01,0,0.103,0.213
199,GFN,GFN_20200131_190000.wav,384234,385404,1513,1871,101,Otus spilocephalus,S-01,1,0.331,0.336
200,GFN,GFN_20200131_200000.wav,227378,227686,449,779,116,Strix nivicolum,S-01,0,0.405,0.239
201,GFN,GFN_20200131_200000.wav,476917,477000,388,799,116,Strix nivicolum,S-01,0,0.216,0
202,GFN,GFN_20200201_010000.wav,588009,588234,573,841,88,Ninox japonica,S-01,0,0.361,0.117
203,GFN,GFN_20200201_180000.wav,107291,107462,481,1030,98,Otus lettia,S-01,1,0.289,0
204,GFN,GFN_20200201_180000.wav,128917,129000,489,1066,98,Otus lettia,S-01,1,0.704,0.551
205,GFN,GFN_20200201_180000.wav,291497,291778,441,1103,98,Otus lettia,S-01,1,0.666,0.646
206,GFN,GFN_20200201_180000.wav,385404,385642,449,1042,98,Otus lettia,S-01,1,0.603,0.692
207,GFN,GFN_20200201_180000.wav,420532,420768,449,1091,98,Otus lettia,S-01,1,0.587,0.644
208,GFN,GFN_20200202_030000.wav,118860,120360,1165,1653,101,Otus spilocephalus,S-01,1,0.581,0.724
209,GFN,GFN_20200202_060000.wav,350466,350821,388,799,116,Strix nivicolum,S-01,0,0.215,0
210,GFN,GFN_20200202_170000.wav,441369,441693,410,779,116,Strix nivicolum,S-01,0,0.3,0
211,GFN,GFN_20200202_180000.wav,22472,22666,457,995,98,Otus lettia,S-01,1,0.216,0.446
212,GFN,GFN_20200202_180000.wav,317202,317400,497,995,98,Otus lettia,S-01,1,0.686,0.215
213,GFN,GFN_20200202_200000.wav,97000,97055,441,820,116,Strix nivicolum,S-01,0,0.187,0
214,GFN,GFN_20200202_200000.wav,527934,528181,538,1115,98,Otus lettia,S-01,0,0.14,0
215,GFN,GFN_20200202_210000.wav,457801,458000,410,720,116,Strix nivicolum,S-01,0,0.125,0.23
216,GFN,GFN_20200203_010000.wav,260413,260627,481,1007,98,Otus lettia,S-01,1,0.686,0.641
217,GFN,GFN_20200205_060000.wav,489794,490000,410,799,116,Strix nivicolum,S-01,0,0.245,0.166
218,GFN,GFN_20200206_190000.wav,39000,39103,581,830,88,Ninox japonica,S-01,0,0.157,0
219,GFN,GFN_20200206_190000.wav,555108,556284,1284,1701,101,Otus spilocephalus,S-01,1,0.817,0.536
220,GFN,GFN_20200207_060000.wav,315681,315847,505,1019,98,Otus lettia,S-01,0,0.559,0.421
221,GFN,GFN_20200209_010000.wav,442567,443000,862,1230,66,Glaucidium brodiei,S-01,0,0.644,0.53
222,GFN,GFN_20200209_010000.wav,505608,506000,873,1230,66,Glaucidium brodiei,S-01,0,0.509,0
223,GFN,GFN_20200210_200000.wav,192511,193815,1409,1854,101,Otus spilocephalus,S-01,1,0.64,0.504
224,GFN,GFN_20200211_000000.wav,279000,279275,366,769,116,Strix nivicolum,S-01,0,0.209,0
225,GFN,GFN_20200211_190000.wav,33998,34998,1498,1889,101,Otus spilocephalus,S-01,1,0.65,0.285
226,GFN,GFN_20200212_020000.wav,191815,191986,410,759,116,Strix nivicolum,S-01,0,0.333,0.173
227,GFN,GFN_20200212_060000.wav,518000,518069,351,769,116,Strix nivicolum,S-01,0,0.103,0.154
228,GFN,GFN_20200212_200000.wav,271858,273128,1204,1701,101,Otus spilocephalus,S-01,1,0.146,0.323
229,GFN,GFN_20200214_000000.wav,520805,522188,1128,1685,101,Otus spilocephalus,S-01,1,0.825,0.822
230,GFN,GFN_20200214_190000.wav,45452,46911,1230,1735,101,Otus spilocephalus,S-01,1,0.512,0
231,GFN,GFN_20200215_000000.wav,156468,157913,1339,1836,101,Otus spilocephalus,S-01,1,0.225,0.101
232,GFN,GFN_20200215_000000.wav,353165,353359,573,841,88,Ninox japonica,S-01,0,0.365,0
233,GFN,GFN_20200215_010000.wav,198571,199863,1217,1718,101,Otus spilocephalus,S-01,1,0.747,0.741
234,GFN,GFN_20200215_030000.wav,462618,464389,1217,1718,101,Otus spilocephalus,S-01,1,0.723,0.686
235,GFN,GFN_20200215_210000.wav,544000,544316,1284,1718,101,Otus spilocephalus,S-01,0,0.172,0.124
236,GFN,GFN_20200215_220000.wav,23943,24989,1367,1819,101,Otus spilocephalus,S-01,1,0.351,0.407
237,GFN,GFN_20200215_220000.wav,257796,258689,1528,1836,101,Otus spilocephalus,S-01,1,0.465,0.307
238,GFN,GFN_20200216_020000.wav,237619,238913,1230,1735,101,Otus spilocephalus,S-01,1,0.461,0.446
239,GFN,GFN_20200216_050000.wav,118601,119732,1270,1802,101,Otus spilocephalus,S-01,1,0.311,0.472
240,GFN,GFN_20200218_000000.wav,488000,488571,938,1297,66,Glaucidium brodiei,S-01,0,0.185,0
241,GFN,GFN_20200218_020000.wav,427695,428890,1257,1768,101,Otus spilocephalus,S-01,1,0.655,0.548
242,GFN,GFN_20200218_020000.wav,482627,483670,1243,1751,101,Otus spilocephalus,S-01,1,0.309,0.142
243,GFN,GFN_20200218_200000.wav,519835,521327,1230,1751,101,Otus spilocephalus,S-01,1,0.791,0.781
244,GFN,GFN_20200219_190000.wav,39295,40862,1204,1768,101,Otus spilocephalus,S-01,1,0.696,0.733
245,GFN,GFN_20200219_200000.wav,304023,304284,581,1115,98,Otus lettia,S-01,1,0.178,0.412
246,GFN,GFN_20200219_200000.wav,444009,444284,599,1165,98,Otus lettia,S-01,1,0.637,0.285
247,GFN,GFN_20200219_200000.wav,579110,580115,1483,1871,101,Otus spilocephalus,S-01,1,0.801,0.452
248,GFN,GFN_20200220_180000.wav,459073,460064,1217,1685,101,Otus spilocephalus,S-01,1,0.122,0.225
249,GFN,GFN_20200220_200000.wav,439720,440975,1257,1701,101,Otus spilocephalus,S-01,1,0.385,0.443
250,GFN,GFN_20200220_220000.wav,197218,198648,1230,1653,101,Otus spilocephalus,S-01,1,0.267,0.126
